name,price,bedrooms,bathrooms,sqr,distance,BER,type
3537629,"€8,000 per month",3 Bed,3 Bath,N/A,1.1136052768803777,B2,['To Let']
1521676,"€3,270 per month",2 Bed,2 Bath,N/A,1.603439936781002,A3,['To Let']
3607915,"€2,300 per month",1 Bed,1 Bath,N/A,4.10602405983159,A2,['To Let']
3619154,"€1,144 per month",1 Bed,1 Bath,N/A,3.352981399166556,SI_666,['To Let']
3619136,"€2,000 per month",2 Bed,2 Bath,N/A,12.43158043553865,C1,['To Let']
3587370,"€2,500 per month",2 Bed,1 Bath,N/A,1.8636706257675957,D1,['To Let']
3568544,"€1,850 per month",2 Bed,2 Bath,N/A,6.3551907631919615,N/A,['To Let']
3619115,"€1,500 per month",1 Bed,1 Bath,N/A,10.74841419927774,C3,['To Let']
3613984,"€2,850 per month",3 Bed,2 Bath,N/A,4.2312723481009265,C3,['To Let']
3619092,"€1,845 per month",2 Bed,2 Bath,N/A,7.092365080356599,D1,['To Let']
3616922,"€1,500 per month",2 Bed,1 Bath,N/A,7.704290212093221,SI_666,['To Let']
3619059,"€2,040 per month",2 Bed,1 Bath,N/A,3.861228609355863,C2,['To Let']
2618249,€695 per week,2 Bed,1 Bath,N/A,0.9549819953919816,C1,['To Let']
2282653,€525 per week,1 Bed,1 Bath,N/A,1.6834381808888301,C3,['To Let']
2618249,€695 per week,2 Bed,1 Bath,N/A,0.9549819953919816,C1,['To Let']
3568692,"€3,600 per month",3 Bed,2 Bath,N/A,1.2344119365480812,B3,['To Let']
2282696,€575 per week,1 Bed,1 Bath,N/A,1.048052996817069,C2,['To Let']
1525203,€475 per week,1 Bed,1 Bath,N/A,1.705909558129432,C3,['To Let']
1194521,€575 per week,1 Bed,1 Bath,N/A,0.9960236912668994,B3,['To Let']
2618253,€550 per week,1 Bed,1 Bath,N/A,0.8717040062012532,C1,['To Let']
2299094,€650 per week,1 Bed,1 Bath,N/A,0.8187651692185723,B3,['To Let']
2618860,€770 per week,2 Bed,2 Bath,N/A,1.4163082966455036,C1,['To Let']
2618886,€895 per week,1 Bed,1 Bath,N/A,1.038406170410741,C1,['To Let']
3606919,"€2,691 per month",2 Bed,2 Bath,N/A,2.9047412128118513,C2,['To Let']
3582615,"€2,258 per month",2 Bed,2 Bath,N/A,1.626207937543134,C2,['To Let']
3548540,"€1,650 per month",2 Bed,1 Bath,N/A,30.01050923023719,D2,['To Let']
3450418,"€1,253 per month",1 Bed,1 Bath,N/A,3.50969361224149,D2,['To Let']
3608410,"€1,800 per month",2 Bed,1 Bath,N/A,12.967544150152184,SI_666,['To Let']
3534041,"€1,533 per month",1 Bed,1 Bath,N/A,3.7728163944105657,E1,['To Let']
3618931,"€1,900 per month",2 Bed,2 Bath,N/A,6.301987868809495,B3,['To Let']
3618957,"€1,452 per month",1 Bed,1 Bath,N/A,3.4001296131762486,E2,['To Let']
3618939,"€2,250 per month",2 Bed,1 Bath,N/A,4.344909789406249,F,['To Let']
3618937,"€1,900 per month",2 Bed,2 Bath,N/A,9.719118774100561,C3,['To Let']
3618875,"€1,500 per month",1 Bed,1 Bath,N/A,1.744372805144716,SI_666,['To Let']
3485428,"€2,000 per month",2 Bed,1 Bath,N/A,2.023485292819878,D2,['To Let']
3618856,"€1,150 per month",1 Bed,1 Bath,N/A,14.127886508729464,D1,['To Let']
3600972,"€3,120 per month",3 Bed,2 Bath,N/A,0.8798814504873321,C1,['To Let']
3613873,"€1,650 per month",2 Bed,2 Bath,N/A,27.738835759196967,C1,['To Let']
3586907,"€1,499 per month",1 Bed,1 Bath,N/A,8.322996972620556,N/A,['To Let']
3618808,"€2,090 per month",2 Bed,2 Bath,N/A,7.9209543870005845,C3,['To Let']
3613704,"€1,400 per month",1 Bed,1 Bath,N/A,1.3208089615437937,C3,['To Let']
3618810,"€2,960 per month",3 Bed,2 Bath,N/A,7.856480576825237,C1,['To Let']
3595521,"€2,000 per month",2 Bed,2 Bath,N/A,3.961234461093592,D1,['To Let']
3595526,"€2,100 per month",2 Bed,1 Bath,N/A,4.0177095546179205,D2,['To Let']
3588140,"€2,500 per month",3 Bed,2 Bath,N/A,6.930282744365311,B1,['To Let']
3602225,"€1,950 per month",2 Bed,1 Bath,N/A,1.7208326102037275,C2,['To Let']
3601413,"€2,260 per month",2 Bed,2 Bath,N/A,2.83853805321907,B1,['To Let']
3618799,"€2,115 per month",2 Bed,2 Bath,N/A,7.872248859182751,B2,['To Let']
3604327,"€1,500 per month",2 Bed,2 Bath,N/A,20.7204629683085,N/A,['To Let']
3609256,"€1,710 per month",1 Bed,1 Bath,N/A,1.5739092846514315,C3,['To Let']
3584460,"€1,920 per month",2 Bed,2 Bath,N/A,8.496723720325306,B2,['To Let']
3600687,"€1,575 per month",1 Bed,1 Bath,N/A,4.35955042379854,C3,['To Let']
3605006,"€1,500 per month",1 Bed,1 Bath,N/A,1.7377392708243868,C3,['To Let']
3600757,"€1,700 per month",1 Bed,1 Bath,N/A,0.41349797553553114,C2,['To Let']
3600556,"€1,655 per month",1 Bed,1 Bath,N/A,6.491817301620202,C1,['To Let']
3600937,"€1,545 per month",1 Bed,1 Bath,N/A,3.8493811975552443,C3,['To Let']
3618701,"€1,400 per month",1 Bed,1 Bath,N/A,1.4768984597149117,G,['To Let']
3618770,"€1,200 per month",1 Bed,1 Bath,N/A,2.6417455402958656,SI_666,['To Let']
3416444,"€1,850 per month",1 Bed,1 Bath,N/A,1.230630340343667,SI_666,['To Let']
3618747,"€2,118 per month",3 Bed,2 Bath,N/A,5.601891833670788,C1,['To Let']
3618738,"€3,200 per month",3 Bed,2 Bath,N/A,5.279044938667838,A2,['To Let']
3618699,"€1,995 per month",2 Bed,1 Bath,N/A,2.4063116536050764,SI_666,['To Let']
3618685,"€1,600 per month",2 Bed,1 Bath,N/A,16.973580214803537,SI_666,['To Let']
3563767,"€2,850 per month",2 Bed,2 Bath,N/A,1.1272777025297591,B2,['To Let']
3582553,"€4,600 per month",2 Bed,2 Bath,N/A,11.627131036671242,A3,['To Let']
3288270,"€3,000 per month",2 Bed,2 Bath,N/A,3.193350595096644,B3,['To Let']
3556052,"€1,750 per month",1 Bed,1 Bath,N/A,8.24370957349241,C2,['To Let']
3543196,"€1,575 per month",2 Bed,2 Bath,N/A,12.68891207330113,C2,['To Let']
3609452,"€2,500 per month",2 Bed,3 Bath,N/A,1.699340275399015,C1,['To Let']
